name,href
Przemyslaw Frankowski,https://www.futwiz.com/en/fifa23/player/przemyslaw-frankowski/22442
Bruma,https://www.futwiz.com/en/fifa23/player/bruma/22687
Domenico Berardi,https://www.futwiz.com/en/fifa23/player/domenico-berardi/22561
Hany Mukhtar,https://www.futwiz.com/en/fifa23/player/hany-mukhtar/22281
Adrien Rabiot,https://www.futwiz.com/en/fifa23/player/adrien-rabiot/22343
Jamie Vardy,https://www.futwiz.com/en/fifa23/player/jamie-vardy/22587
Hakan Calhanoglu,https://www.futwiz.com/en/fifa23/player/hakan-calhanoglu/22530
Teji Savanier,https://www.futwiz.com/en/fifa23/player/teji-savanier/22549
Samuel Umtiti,https://www.futwiz.com/en/fifa23/player/samuel-umtiti/22464
Raul Jimenez,https://www.futwiz.com/en/fifa23/player/raul-jimenez/22562
Raul Jimenez,https://www.futwiz.com/en/fifa23/player/raul-jimenez/22563
Raul Jimenez,https://www.futwiz.com/en/fifa23/player/raul-jimenez/22565
Jerome Roussillon,https://www.futwiz.com/en/fifa23/player/jerome-roussillon/22502
Raphael Varane,https://www.futwiz.com/en/fifa23/player/raphael-varane/21806
Casemiro,https://www.futwiz.com/en/fifa23/player/casemiro/21805
Heung Min Son,https://www.futwiz.com/en/fifa23/player/heung-min-son/21807
Marco Verratti,https://www.futwiz.com/en/fifa23/player/marco-verratti/22303
Wissam Ben Yedder,https://www.futwiz.com/en/fifa23/player/wissam-ben-yedder/22304
Antoine Griezmann,https://www.futwiz.com/en/fifa23/player/antoine-griezmann/22263
Thomas Delaney,https://www.futwiz.com/en/fifa23/player/thomas-delaney/22663
Jesus Corona,https://www.futwiz.com/en/fifa23/player/jesus-corona/22532
Kevin De Bruyne,https://www.futwiz.com/en/fifa23/player/kevin-de-bruyne/21610
Marc-Andre ter Stegen,https://www.futwiz.com/en/fifa23/player/marc-andre-ter-stegen/22264
Marc-Andre ter Stegen,https://www.futwiz.com/en/fifa23/player/marc-andre-ter-stegen/22399
Mario Gotze,https://www.futwiz.com/en/fifa23/player/mario-gotze/22508
Lothar Matthaus,https://www.futwiz.com/en/fifa23/player/lothar-matthaus/21491
Eusebio,https://www.futwiz.com/en/fifa23/player/eusebio/21558
Johan Cruyff,https://www.futwiz.com/en/fifa23/player/johan-cruyff/1400
Chris Smalling,https://www.futwiz.com/en/fifa23/player/chris-smalling/22344
Pierre-Emerick Aubameyang,https://www.futwiz.com/en/fifa23/player/pierre-emerick-aubameyang/22551
Robert Lewandowski,https://www.futwiz.com/en/fifa23/player/robert-lewandowski/17315
Kyle Walker,https://www.futwiz.com/en/fifa23/player/kyle-walker/22510
